Name,vram,price
MSI GEFORCE RTX 3060 VENTUS 2X 12G OC - 12GB GDDR6 (LHR),6,10200
INNO3D GEFORCE RTX 3060 TWIN X2 - 12GB GDDR6 ,6,11400
INNO3D GEFORCE RTX 3060 TI TWIN X2 OC LHR - 8GB GDDR6 ,6,12600
MSI GEFORCE RTX 3070 VENTUS 2X 8G OC LHR - 8GB GDDR6,6,14500
GALAX GEFORCE RTX 3050 (1-CLICK OC) - 8GB GDDR6,6,8350
MSI GEFORCE RTX 3060 TI TWIN FAN 8G OC LHR - 8GB GDDR6,6,11900
GIGABYTE GEFORCE RTX 3060 TI WINDFORCE OC 8G - 8GB GDDR6 [LHR],6,12900
GIGABYTE GEFORCE RTX 3060 TI GAMING OC D6X 8G - 8GB GDDR6X [LHR],6,13900
ASUS DUAL GEFORCE RTX 3060 TI WHITE OC EDITION 8GB GDDR6X [LHR],6,12900
ASUS TUF GAMING GEFORCE RTX 3070 TI V2 OC EDITION 8,6,22900
MSI GEFORCE RTX 3060 TI VENTUS 2X 8GD6X OC - 8GB GDDR6X [LHR],6,12200
ASUS DUAL GEFORCE RTX 3060 TI OC EDITION 8GB GDDR6X [LHR],6,11400
GIGABYTE GEFORCE RTX 3060 WINDFORCE OC 12G (REV. 2.0) - 12GB GDDR6,6,10400
ZOTAC RTX3060 TWIN EDGE 12GB GDDR6 (ZT-A30600E-10M),6,10500
GALAX GEFORCE RTX 3050 6GB EX - 6GB GDDR6,6,6970
GIGABYTE GEFORCE RTX 3050 EAGLE OC 6G - 6GB GDDR6,6,6990
MSI GEFORCE RTX 3050 VENTUS 2X 6G OC - 6GB GDDR6,6,6990
ASUS TUF GAMING GEFORCE RTX 4090 OC EDITION 24GB GDDR6X,6,95900
MSI GEFORCE RTX 4090 GAMING X TRIO 24G - 24GB GDDR6X,6,76800
ASUS ROG STRIX GEFORCE RTX 4090 OC EDITION 24GB GDDR6X,6,96500
INNO3D GEFORCE RTX 4090 ICHILL X3 - 24GB GDDR6X,6,77890
MSI GEFORCE RTX 4090 SUPRIM X 24G - 24GB GDDR6X,6,79900
ASUS ROG STRIX GEFORCE RTX 4070TI 12GB GDDR6X OC EDITION,6,35900
ZOTAC GAMING GEFORCE RTX 4070 TI AMP EXTREME AIRO - 12GB GDDR6X,6,34400
ZOTAC GAMING GEFORCE RTX 4070 TI TRINITY OC - 12GB GDDR6X,6,29600
ASUS TUF GAMING GEFORCE RTX 4070 TI 12GB GDDR6X OC EDITION,6,36200
GIGABYTE GEFORCE RTX 4070 TI AERO OC 12G - 12GB GDDR6X,6,31900
GIGABYTE GEFORCE RTX 4070 TI GAMING OC 12G - 12GB GDDR6X,6,29900
GIGABYTE AORUS GEFORCE RTX 4070 TI MASTER 12G - 12GB GDDR6X,6,33400
ASUS TUF GAMING GEFORCE RTX 4070 TI 12GB GDDR6X,6,32400
GIGABYTE AORUS GEFORCE RTX 4070 TI ELITE 12G - 12GB GDDR6X,6,33800
MSI GEFORCE RTX 4070 TI VENTUS 3X 12G OC - 12GB GDDR6X,6,30900
ZOTAC GAMING GEFORCE RTX 4070 TI AMP AIRO - 12GB GDDR6X ,6,31400
GALAX GEFORCE RTX 4070 TI EX GAMER - 12GB GDDR6X,6,29400
GIGABYTE GEFORCE RTX 4070 AERO OC 12G - 12GB GDDR6X,6,23800
GIGABYTE GEFORCE RTX 4070 GAMING OC 12G - 12GB GDDR6X,6,24400
GIGABYTE GEFORCE RTX 4070 EAGLE OC 12G - 12GB GDDR6X ,6,23900
GIGABYTE GEFORCE RTX 4070 WINDFORCE OC 12G - 12GB GDDR6X ,6,23200
ASUS TUF GAMING GEFORCE RTX 4070 12GB GDDR6X OC EDITION,6,24900
ASUS DUAL GEFORCE RTX 4070 OC EDITION 12GB GDDR6X,6,22600
GALAX GEFORCE RTX 4070 EX GAMER - 12GB GDDR6X,6,22200
GALAX GEFORCE RTX 4070 EX GAMER WHITE - 12GB GDDR6X,6,22900
MSI GEFORCE RTX 4070 VENTUS 2X 12G OC - 12GB GDDR6X,6,21800
GIGABYTE AORUS GEFORCE RTX 4070 MASTER 12G - 12GB GDDR6X,6,25800
ZOTAC GAMING GEFORCE RTX 4060 TI 8GB TWIN EDGE - 8GB GDDR6,6,15200
MSI GEFORCE RTX 4060 TI VENTUS 2X BLACK 8G OC - 8GB GDDR6,6,14400
ASUS DUAL GEFORCE RTX 4060 TI OC EDITION 8GB GDDR6 ,6,14900
GALAX GEFORCE RTX 4060 TI 8GB EX - 8GB GDDR6,6,15400
GALAX GEFORCE RTX 4060 TI 8GB 1-CLICK OC - 8GB GDDR6,6,14800
GIGABYTE GEFORCE RTX 4060 TI GAMING OC 8G - 8GB GDDR6,6,15650
GIGABYTE GEFORCE RTX 4060 TI EAGLE 8G - 8GB GDDR6,6,14400
ASUS TUF GAMING GEFORCE RTX 4060 TI 8GB GDDR6 OC EDITION,6,16500
GIGABYTE GEFORCE RTX 4060 TI AERO OC 8G - 8GB GDDR6,6,18600
GIGABYTE AORUS GEFORCE RTX 4060 TI ELITE 8G - 8GB GDDR6,6,17200
GIGABYTE GEFORCE RTX 4060 TI EAGLE OC 8G - 8GB GDDR6,6,15200
PNY RTX4070 GEFORCE TI 12GB VERTO LED TRIPLE FAN,6,29500
