Name,wattage,price
POWER SUPPLY (อุปกรณ์จ่ายไฟ) THERMALTAKE TOUGHPOWER GF3 1350W GOLD - 1350W 80 PLUS GOLD,1350,9990
POWER SUPPLY (อุปกรณ์จ่ายไฟ) THERMALTAKE TOUGHPOWER GF3 1650W GOLD - 1650W 80 PLUS GOLD,1650,12690
POWER SUPPLY (อุปกรณ์จ่ายไฟ) THERMALTAKE TOUGHPOWER GF3 1000W GOLD - 1000W 80 PLUS GOLD,1000,6690
POWER SUPPLY (อุปกรณ์จ่ายไฟ) THERMALTAKE TOUGHPOWER GF3 750W GOLD - 750W 80 PLUS GOLD,750,4890
POWER SUPPLY (อุปกรณ์จ่ายไฟ) THERMALTAKE TOUGHPOWER GF3 850W GOLD - 850W 80 PLUS GOLD,850,5390
POWER SUPPLY (อุปกรณ์จ่ายไฟ) THERMALTAKE TOUGHPOWER GF3 1200W GOLD - 1200W 80 PLUS GOLD,1200,8190
POWER SUPPLY (อุปกรณ์จ่ายไฟ) DEEPCOOL PK750D - 750W 80 PLUS BRONZE,750,2290
POWER SUPPLY (อุปกรณ์จ่ายไฟ) COUGAR GEX1050 - 1050W 80 PLUS GOLD,1050,6290
POWER SUPPLY (อุปกรณ์จ่ายไฟ) MSI MEG AI1300P - 1300W 80 PLUS PLATINUM,1300,10990
POWER SUPPLY (อุปกรณ์จ่ายไฟ) ZALMAN MEGAMAX 600W V2 - 600W 80 PLUS,600,1490
POWER SUPPLY (อุปกรณ์จ่ายไฟ) DEEPCOOL PK650D - 650W 80 PLUS BRONZE,650,1990
POWER SUPPLY (อุปกรณ์จ่ายไฟ) COOLER MASTER V SFX PLATINUM 1100 - 1100W 80 PLUS PLATINUM,1100,11900
POWER SUPPLY (อุปกรณ์จ่ายไฟ) COOLER MASTER V SFX PLATINUM 1300 - 1300W 80 PLUS PLATINUM,1300,13900
POWER SUPPLY (อุปกรณ์จ่ายไฟ) COOLER MASTER MWE 650 BRONZE - V2 230V - 650W 80 PLUS BRONZE,650,1990
POWER SUPPLY (อุปกรณ์จ่ายไฟ) GAMDIAS AURA GP550 - 550W (BLACK),550,990
POWER SUPPLY (อุปกรณ์จ่ายไฟ) MSI MPG A850G PCIE5 - 850W 80 PLUS GOLD,850,5990
POWER SUPPLY (อุปกรณ์จ่ายไฟ) COOLER MASTER G700 GOLD - 700W 80 PLUS GOLD,700,2990
POWER SUPPLY (อุปกรณ์จ่ายไฟ) THERMALTAKE TOUGHPOWER SFX 850W GOLD - TT PREMIUM EDITION - 850W 80 PLUS GOLD,850,6490
POWER SUPPLY (อุปกรณ์จ่ายไฟ) THERMALTAKE TOUGHPOWER SFX 1000W GOLD - TT PREMIUM EDITION - 1000W 80 PLUS GOLD,1000,7990
POWER SUPPLY (อุปกรณ์จ่ายไฟ) COOLER MASTER MWE GOLD 1050 - V2 ATX 3.0 - 1050W 80 PLUS GOLD,1050,6990
POWER SUPPLY (อุปกรณ์จ่ายไฟ) COOLER MASTER MWE GOLD 1250 - V2 ATX 3.0 - 1250W 80 PLUS GOLD,1250,8990
POWER SUPPLY (อุปกรณ์จ่ายไฟ) COOLER MASTER ELITE NEX WHITE 230V 600 - 600W 80 PLUS,600,1490
POWER SUPPLY (อุปกรณ์จ่ายไฟ) COOLER MASTER ELITE NEX WHITE 230V 700 - 700W 80 PLUS,700,1890
POWER SUPPLY (อุปกรณ์จ่ายไฟ) MSI MPG A1000G PCIE5 - 1000W 80 PLUS GOLD,1000,6990
POWER SUPPLY (อุปกรณ์จ่ายไฟ) ASUS TUF GAMING 750W GOLD - 750W 80 PLUS GOLD,750,5090
POWER SUPPLY (อุปกรณ์จ่ายไฟ) ASUS TUF GAMING 850W GOLD - 850W 80 PLUS GOLD,850,5590
POWER SUPPLY (อุปกรณ์จ่ายไฟ) ASUS TUF GAMING 1000W GOLD - 1000W 80 PLUS GOLD,1000,6890
POWER SUPPLY (อุปกรณ์จ่ายไฟ) NZXT C1200 GOLD - 1200W 80 PLUS GOLD,1200,6490
POWER SUPPLY (อุปกรณ์จ่ายไฟ) SILVERSTONE DA1000R GOLD - 1000W 80 PLUS GOLD,1000,5890
POWER SUPPLY (อุปกรณ์จ่ายไฟ) ANTEC ATOM V650 - 650W (BLACK),650,1350
POWER SUPPLY (อุปกรณ์จ่ายไฟ) ANTEC ATOM V750 - 750W (BLACK),750,1550
POWER SUPPLY (อุปกรณ์จ่ายไฟ) DEEPCOOL PF750 - 750W 80 PLUS,750,1990
POWER SUPPLY (อุปกรณ์จ่ายไฟ) MONTECH AP 550W - 550W 80 PLUS,550,1350
POWER SUPPLY (อุปกรณ์จ่ายไฟ) MONTECH AP 650W - 650W 80 PLUS,650,1590
POWER SUPPLY (อุปกรณ์จ่ายไฟ) MONTECH AP 750W - 750W 80 PLUS,750,1790
POWER SUPPLY (อุปกรณ์จ่ายไฟ) CORSAIR RM850E - 850W 80 PLUS GOLD,850,4390
POWER SUPPLY (อุปกรณ์จ่ายไฟ) CORSAIR RM1000E - 1000W 80 PLUS GOLD,1000,6390
POWER SUPPLY (อุปกรณ์จ่ายไฟ) AEROCOOL AE-750W - 750W 80 PLUS,750,1890
POWER SUPPLY (อุปกรณ์จ่ายไฟ) ASUS ROG STRIX 850W GOLD AURA EDITION - 850W 80 PLUS GOLD,850,8790
POWER SUPPLY (อุปกรณ์จ่ายไฟ) ASUS ROG STRIX 750W GOLD AURA EDITION - 750W 80 PLUS GOLD ,750,7490
POWER SUPPLY (อุปกรณ์จ่ายไฟ) COOLER MASTER V SFX PLATINUM FULLY MODULAR 1100W A/EU CABLE,1100,12900
POWER SUPPLY (อุปกรณ์จ่ายไฟ) ZALMAN MEGAMAX 800W V2 - 800W 80 PLUS,800,1890
POWER SUPPLY (อุปกรณ์จ่ายไฟ) THERMALTAKE TOUGHPOWER GF A3 GOLD 1200W - 1200W 80 PLUS GOLD,1200,7690
POWER SUPPLY (อุปกรณ์จ่ายไฟ) THERMALTAKE TOUGHPOWER GF A3 GOLD 750W - 750W 80 PLUS GOLD,750,4390
POWER SUPPLY (อุปกรณ์จ่ายไฟ) THERMALTAKE TOUGHPOWER GF A3 GOLD 850W - 850W 80 PLUS GOLD,850,4890
POWER SUPPLY (อุปกรณ์จ่ายไฟ) THERMALTAKE TOUGHPOWER GF A3 GOLD 1050W - 1050W 80 PLUS GOLD,1050,6290
POWER SUPPLY (อุปกรณ์จ่ายไฟ) ANTEC CSK750H - 750W 80 PLUS BRONZE,750,2390
POWER SUPPLY (อุปกรณ์จ่ายไฟ) THERMALTAKE SMART BM3 BRONZE 750W - 750W 80 PLUS BRONZE,750,3790
POWER SUPPLY (อุปกรณ์จ่ายไฟ) THERMALTAKE SMART BM3 BRONZE 850W - 850W 80 PLUS BRONZE,850,4190
POWER SUPPLY (อุปกรณ์จ่ายไฟ) SEGOTEP BN650W - 650W 80 PLUS BRONZE,650,1780
POWER SUPPLY (อุปกรณ์จ่ายไฟ) SEGOTEP BN750W - 750W 80 PLUS BRONZE,750,1980
POWER SUPPLY (อุปกรณ์จ่ายไฟ) SEGOTEP GM1000W ATX 3.0 - 1000W 80 PLUS GOLD FULL MODULAR,1000,5580
POWER SUPPLY (อุปกรณ์จ่ายไฟ) SEGOTEP GM1250W ATX 3.0 - 1250W 80 PLUS GOLD FULL MODULAR,1250,5980
POWER SUPPLY (อุปกรณ์จ่ายไฟ) SEGOTEP KL1250G - 1250W 80 PLUS GOLD ATX 3.0 PCIe 5.0 (WHITE),1250,6580
POWER SUPPLY (อุปกรณ์จ่ายไฟ) SEGOTEP KL1250G - 1250W 80 PLUS GOLD ATX 3.0 PCIe 5.0 (BLACK),1250,5980
POWER SUPPLY (อุปกรณ์จ่ายไฟ) SEGOTEP KL1250G - 1250W 80 PLUS GOLD ATX 3.0 PCIe 5.0 (WHITE),1250,6580
POWER SUPPLY (อุปกรณ์จ่ายไฟ) SEGOTEP KL1250G - 1250W 80 PLUS GOLD ATX 3.0 PCIe 5.0 (BLACK),1250,5980
POWER SUPPLY (อุปกรณ์จ่ายไฟ) COOLER MASTER ELITE NEX PN800 230V PEAK - 700W,700,1990
POWER SUPPLY (อุปกรณ์จ่ายไฟ) SYNDOME SPS 550 - 550W 80 PLUS BRONZE,550,1590
POWER SUPPLY (อุปกรณ์จ่ายไฟ) SYNDOME SPS 650 - 650W 80 PLUS BRONZE,650,1890
POWER SUPPLY (อุปกรณ์จ่ายไฟ) SYNDOME SPS 750 - 750W 80 PLUS BRONZE,750,1990
POWER SUPPLY (อุปกรณ์จ่ายไฟ) COOLER MASTER G750 GOLD 750W 80 PLUS GOLD,750,4590
POWER SUPPLY (อุปกรณ์จ่ายไฟ) ASUS ROG THOR 1000W PLATINUM II EVA EDITION - 1000W 80 PLUS PLATINUM,1000,14400
POWER SUPPLY (อุปกรณ์จ่ายไฟ) CORSAIR HX1500I - 80 PLUS PLATINUM,1500,15350
POWER SUPPLY (อุปกรณ์จ่ายไฟ) DEEPCOOL PX1000G - 1000W 80 PLUS GOLD,1000,6990
POWER SUPPLY (อุปกรณ์จ่ายไฟ) DEEPCOOL PX1200G - 1200W 80 PLUS GOLD,1200,8490
POWER SUPPLY (อุปกรณ์จ่ายไฟ) THERMALTAKE TOUGHPOWER IRGB PLUS 1250W TITANIUM - TT PREMIUM EDITION - 1250W 80 PLUS TITANIUM,1250,12900
POWER SUPPLY (อุปกรณ์จ่ายไฟ) THERMALTAKE TOUGHPOWER IRGB PLUS 1650W TITANIUM - TT PREMIUM EDITION - 1650W 80 PLUS TITANIUM,1650,18900
POWER SUPPLY (อุปกรณ์จ่ายไฟ) COUGAR STC 650 - 650W 80 PLUS,650,1690
POWER SUPPLY (อุปกรณ์จ่ายไฟ) MSI MAG A850GL PCIE5 - 850W 80 PLUS GOLD,850,3990
POWER SUPPLY (อุปกรณ์จ่ายไฟ) NZXT C750 BRONZE - 750W 80 PLUS BRONZE,750,2290
POWER SUPPLY (อุปกรณ์จ่ายไฟ) BE QUIET PURE POWER 12M - 750W 80 PLUS GOLD,750,4290
POWER SUPPLY (อุปกรณ์จ่ายไฟ) BE QUIET DARK POWER PRO 13 - 1600W 80 PLUS TITANIUM,1600,18900
POWER SUPPLY (อุปกรณ์จ่ายไฟ) COUGAR STC 750 - 750W 80 PLUS,750,1890
POWER SUPPLY (อุปกรณ์จ่ายไฟ) LIAN LI SP850-BLACK - 850W 80 PLUS GOLD,850,5470
POWER SUPPLY (อุปกรณ์จ่ายไฟ) ASUS ROG-THOR-850P2-GAMING - 850W 80 PLUS PLATINUM II,850,8990
POWER SUPPLY (อุปกรณ์จ่ายไฟ) BE QUIET SYSTEM POWER 10 650W - 650W 80 PLUS BRONZE,650,1990
POWER SUPPLY (อุปกรณ์จ่ายไฟ) BE QUIET SYSTEM POWER 10 750W - 750W 80 PLUS BRONZE,750,2390
POWER SUPPLY (อุปกรณ์จ่ายไฟ) BE QUIET PURE POWER 12 M 850W - 850W 80 PLUS GOLD,850,4790
POWER SUPPLY (อุปกรณ์จ่ายไฟ) COOLER MASTER V SFX GOLD 750 ATX 3.0 - 750W 80 PLUS GOLD,750,4890
POWER SUPPLY (อุปกรณ์จ่ายไฟ) COOLER MASTER V SFX GOLD 750 ATX 3.0 WHITE EDITION - 750W 80 PLUS GOLD,750,4950
POWER SUPPLY (อุปกรณ์จ่ายไฟ) COUGAR ATLAS 650 - 650W 80 PLUS BRONZE,650,1890
POWER SUPPLY (อุปกรณ์จ่ายไฟ) COUGAR ATLAS 750 - 750W 80 PLUS BRONZE,750,2090
POWER SUPPLY (อุปกรณ์จ่ายไฟ) THERMALTAKE TOUGHPOWER GF A3 SNOW 850W - TT PREMIUM EDITION - 850W 80 PLUS GOLD,850,5090
POWER SUPPLY (อุปกรณ์จ่ายไฟ) THERMALTAKE TOUGHPOWER GF A3 SNOW 1050W - TT PREMIUM EDITION - 1050W 80 PLUS GOLD,1050,6490
POWER SUPPLY (อุปกรณ์จ่ายไฟ) THERMALTAKE TOUGHPOWER GF3 SNOW 1200W - TT PREMIUM EDITION - 1200W 80 PLUS GOLD,1200,8690
POWER SUPPLY (อุปกรณ์จ่ายไฟ) THERMALTAKE TOUGHPOWER PF3 1050W PLATINUM - TT PREMIUM EDITION - 1050W 80 PLUS PLATINUM,1050,7990
POWER SUPPLY (อุปกรณ์จ่ายไฟ) THERMALTAKE TOUGHPOWER PF3 1200W PLATINUM - TT PREMIUM EDITION - 1200W 80 PLUS PLATINUM,1200,9490
POWER SUPPLY (อุปกรณ์จ่ายไฟ) THERMALTAKE TOUGHPOWER TF3 1550W - TT PREMIUM EDITION - 1550W 80 PLUS TITANIUM,1550,14900
POWER SUPPLY (อุปกรณ์จ่ายไฟ) CORSAIR CX750 - 750W 80 PLUS BRONZE,750,2290
POWER SUPPLY (อุปกรณ์จ่ายไฟ) THERMALTAKE SMART BX1 650W (DC TO DC VERSION) - 650W 80 PLUS BRONZE,650,1990
POWER SUPPLY (อุปกรณ์จ่ายไฟ) THERMALTAKE SMART BX1 750W (DC TO DC VERSION) - 750W 80 PLUS BRONZE,750,2190
POWER SUPPLY (อุปกรณ์จ่ายไฟ) MONTECH TITAN GOLD 750W - 750W 80 PLUS GOLD,750,4590
POWER SUPPLY (อุปกรณ์จ่ายไฟ) THERMALTAKE TR2 S 550W (DC TO DC VERSION) - 550W 80 PLUS,550,1490
POWER SUPPLY (อุปกรณ์จ่ายไฟ) THERMALTAKE TR2 S 650W (DC TO DC VERSION) - 650W 80 PLUS,650,1690
