Name,capacity,rgb,Price
32GB (16GBx2) DDR4 3200MHz RAM (หน่วยความจำ) CORSAIR VENGEANCE RGB RS,32,TRUE,3290
32GB (16GBx2) DDR4 3200MHz RAM (หน่วยความจำ) CORSAIR VENGEANCE LPX,32,FALSE,2990
8GB (8GBx1) DDR4/3200 RAM PC (แรมพีซี) ADDLINK SPIDER 4 DDR4,8,FALSE,1459
16GB (16GBx1) DDR4/3200 RAM PC (แรมพีซี) ADDLINK SPIDER 4 DDR4,16,FALSE,2735
16GB KIT (8GBx2) DDR4/3200 RAM PC (แรมพีซี) ADDLINK SPIDER 4 (2 PACK) DDR4,16,FALSE,2969
16GB KIT (8GBx2) DDR4/3200 RAM PC (แรมพีซี) ADDLINK SPIDER X4 (2 PACK) DDR4,16,FALSE,3189
16GB (16GBx1) DDR4 3200MHz RAM (หน่วยความจำ) ADATA PREMIER,16,FALSE,2300
32GB (32GBx1) DDR4 3200MHz RAM (หน่วยความจำ) ADATA PREMIER,32,FALSE,4690
8GB (8GBx1) DDR4 3600MHz RAM (หน่วยความจำ) ADATA GAMMIX D30,8,FALSE,2850
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) ADATA GAMMIX D20,16,FALSE,3300
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) ADATA GAMMIX D20,16,FALSE,3300
16GB (8GBX2) DDR4 3200MHz RAM (หน่วยความจำ) KLEVV BOLT X DDR4,16,FALSE,1890
16GB (16GBx1) DDR4 3200MHz RAM (หน่วยความจำ) KINGSTON FURY BEAST DDR4,16,FALSE,1480
32GB (16GBx2) DDR4 3200MHz RAM (หน่วยความจำ) KINGSTON FURY BEAST DDR4,32,FALSE,3290
16GB (16GBx1) DDR4 3200MHz RAM (หน่วยความจำ) CRUCIAL 16GB DDR4-3200 UDIMM CL22,16,FALSE,1350
32GB (16GBx2) DDR4 3200MHz RAM (หน่วยความจำ) KINGSTON FURY BEAST DDR4,32,TRUE,3190
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) KINGSTON FURY BEAST DDR4,8,TRUE,2490
8GB (8GBx1) DDR4 3200MHz RAM (หน่วยความจำ) CORSAIR VENGEANCE LPX DDR4,8,FALSE,790
16GB (16GBx1) DDR4 3200MHz RAM (หน่วยความจำ) CORSAIR VENGEANCE LPX DDR4,16,FALSE,1390
8GB (8GBx1) DDR4 3200Mbps RAM PC (หน่วยความจำ) LEXAR U-DIMM CL22,8,FALSE,890
16GB (16GBx1) DDR4 3200Mbps RAM PC (หน่วยความจำ) LEXAR U-DIMM CL22,16,FALSE,1590
32GB (32GBx1) DDR4 3200Mbps RAM PC (หน่วยความจำ) LEXAR U-DIMM CL22,32,FALSE,3490
16GB (8GBx2) DDR4 3200Mbps RAM PC (หน่วยความจำ) LEXAR THOR OC DK WITH HEATSINK,16,FALSE,2690
8GB (8GBx1) DDR4 3200MHz RAM (หน่วยความจำ) ACER HT100 DESKTOP DRAM DDR4,8,FALSE,790
8GB (8GBx1) DDR4 3200MHz RAM (หน่วยความจำ) HIKSEMI U10 U-DIMM,8,FALSE,660
16GB (16GBx1) DDR4 3200MHz RAM (หน่วยความจำ) HIKSEMI U10 U-DIMM,16,FALSE,1150
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) ADATA SPECTRIX D60G,16,FALSE,2090
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) ADATA SPECTRIX DT50,16,FALSE,1990
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) ADATA SPECTRIX DW50,16,FALSE,1990
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) ADATA GAMMIX D30,16,FALSE,1790
32GB (2x16GB) RAM PC (หน่วยความจำ) ACER PREDATOR TALOS DDR4 3200MHz CL14 DIMM,32,FALSE,6550
8GB (8GBx1) DDR4 3200MHz RAM (หน่วยความจำ) PNY XLR8 LONGDIMM,8,FALSE,790
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) PNY XLR8 LONGDIMM,16,FALSE,1650
16GB (16GBx1) DDR4 3200MHz RAM (หน่วยความจำ) PNY XLR8,16,FALSE,1750
16GB (16GBx1) DDR4 3200MHz RAM (หน่วยความจำ) PNY XLR8 GAMING EPIC-X,16,TRUE,1590
